ID,LID,Width,Color,type,LinkID
472,472,1.000,W,0,0
473,473,1.000,W,0,0
474,474,1.000,W,0,0
475,475,1.000,W,0,0
476,476,1.000,W,0,0
477,477,1.000,W,0,0
478,478,1.000,W,0,0
479,479,1.000,W,0,0
480,480,1.000,W,0,0
481,481,1.000,W,0,0
482,482,1.000,W,0,0
483,483,1.000,W,0,0
484,484,1.000,W,0,0
485,485,1.000,W,0,0
486,486,1.000,W,0,0
487,487,1.000,W,0,0
488,488,1.000,W,0,0
489,489,1.000,W,0,0
490,490,1.000,W,0,0
491,491,1.000,W,0,0
492,492,1.000,W,0,0
493,493,1.000,W,0,0
494,494,1.000,W,0,0
495,495,1.000,W,0,0
496,496,1.000,W,0,0
497,497,1.000,W,0,0
498,498,1.000,W,0,0
499,499,1.000,W,0,0
500,500,1.000,W,0,0
501,501,1.000,W,0,0
502,502,1.000,W,0,0
503,503,1.000,W,0,0
504,504,1.000,W,0,0
505,505,1.000,W,0,0
506,506,1.000,W,0,0
507,507,1.000,W,0,0
508,508,1.000,W,0,0
509,509,1.000,W,0,0
510,510,1.000,W,0,0
511,511,1.000,W,0,0
512,512,1.000,W,0,0
513,513,1.000,W,0,0
514,514,1.000,W,0,0
515,515,1.000,W,0,0
516,516,1.000,W,0,0
517,517,1.000,W,0,0
518,518,1.000,W,0,0
519,519,1.000,W,0,0
520,520,1.000,W,0,0
521,521,1.000,W,0,0
522,522,1.000,W,0,0
523,523,1.000,W,0,0
524,524,1.000,W,0,0
525,525,1.000,W,0,0
526,526,1.000,W,0,0
527,527,1.000,W,0,0
528,528,1.000,W,0,0
529,529,1.000,W,0,0
530,530,1.000,W,0,0
531,531,1.000,W,0,0
532,532,1.000,W,0,0
533,533,1.000,W,0,0
534,534,1.000,W,0,0
535,535,1.000,W,0,0
536,536,1.000,W,0,0
537,537,1.000,W,0,0
538,538,1.000,W,0,0
539,539,1.000,W,0,0
540,540,1.000,W,0,0
541,541,1.000,W,0,0
542,542,1.000,W,0,0
543,543,1.000,W,0,0
544,544,1.000,W,0,0
545,545,1.000,W,0,0
546,546,1.000,W,0,0
547,547,1.000,W,0,0
548,548,1.000,W,0,0
549,549,1.000,W,0,0
550,550,1.000,W,0,0
551,551,1.000,W,0,0
552,552,1.000,W,0,0
553,553,1.000,W,0,0
554,554,1.000,W,0,0
555,555,1.000,W,0,0
556,556,1.000,W,0,0
557,557,1.000,W,0,0
558,558,1.000,W,0,0
559,559,1.000,W,0,0
560,560,1.000,W,0,0
561,561,1.000,W,0,0
562,562,1.000,W,0,0
563,563,1.000,W,0,0
564,564,1.000,W,0,0
565,565,1.000,W,0,0
566,566,1.000,W,0,0
567,567,1.000,W,0,0
568,568,1.000,W,0,0
569,569,1.000,W,0,0
570,570,1.000,W,0,0
571,571,1.000,W,0,0
572,572,1.000,W,0,0
573,573,1.000,W,0,0
574,574,1.000,W,0,0
575,575,1.000,W,0,0
576,576,1.000,W,0,0
577,577,1.000,W,0,0
578,578,1.000,W,0,0
579,579,1.000,W,0,0
580,580,1.000,W,0,0
581,581,1.000,W,0,0
582,582,1.000,W,0,0
583,583,1.000,W,0,0
584,584,1.000,W,0,0
585,585,1.000,W,0,0
586,586,1.000,W,0,0
587,587,1.000,W,0,0
588,588,1.000,W,0,0
589,589,1.000,W,0,0
590,590,1.000,W,0,0
591,591,1.000,W,0,0
592,592,1.000,W,0,0
593,593,1.000,W,0,0
594,594,1.000,W,0,0
595,595,1.000,W,0,0
596,596,1.000,W,0,0
597,597,1.000,W,0,0
598,598,1.000,W,0,0
599,599,1.000,W,0,0
600,600,1.000,W,0,0
601,601,1.000,W,0,0
602,602,1.000,W,0,0
603,603,1.000,W,0,0
604,604,1.000,W,0,0
605,605,1.000,W,0,0
606,606,1.000,W,0,0
607,607,1.000,W,0,0
608,608,1.000,W,0,0
609,609,1.000,W,0,0
610,610,1.000,W,0,0
611,611,1.000,W,0,0
612,612,1.000,W,0,0
613,613,1.000,W,0,0
614,614,1.000,W,0,0
615,615,1.000,W,0,0
616,616,1.000,W,0,0
617,617,1.000,W,0,0
618,618,1.000,W,0,0
619,619,1.000,W,0,0
620,620,1.000,W,0,0
621,621,1.000,W,0,0
